github.com/AlDanial/cloc v 1.81  T=16.60 s (889.7 files/s, 130551.8 lines/s)
---------------------------------------------------------------------------------------
Language                             files          blank        comment           code
---------------------------------------------------------------------------------------
PHP                                   6857         112912         233270         503371
JavaScript                            3232          67989          79208         498005
Python                                 712          34022          47814         171118
JSON                                  1647             61              0          89951
Rust                                    61             36             28          78494
XML                                    303           1055           2485          61357
Markdown                               574          17498              1          47821
TypeScript                             296           4791          28487          27977
Java                                   169           2380           2129           7792
HTML                                    35           2351            374           6146
D                                      409           1066              0           5120
XSD                                      9            113             48           4579
Dart                                    42            390            514           2482
CSS                                     30            266            110           2117
yacc                                     3            336             12           2050
C++                                     39            466            263           1659
YAML                                   105            262            589           1642
CMake                                   25            407            560           1335
reStructuredText                        37           1103           1401           1293
Blade                                   37            108             56            923
Bourne Again Shell                       6            123             74            637
Windows Resource File                    8            184            232            552
C/C++ Header                            16             90            100            519
C                                        4            160            105            490
Gradle                                  11            101             40            467
Windows Module Definition                6             85              0            455
Dockerfile                               5             48              2            193
Bourne Shell                            17             23             27            189
DTD                                      1             23              0            117
Fish Shell                               2             26             20             86
Ant                                     15            195            825             75
Swift                                    9             23             16             70
DOS Batch                                2             24              2             68
Assembly                                 4             11              4             66
make                                     2             19             14             61
Objective C                              4             25             16             50
PowerShell                               1             12              3             46
zsh                                      1              9             30             41
C Shell                                  1             13              7             35
Kotlin                                   8             16              0             32
TOML                                     5             11              5             27
SVG                                     13              0              0             13
Maven                                    1              3              0             13
JSX                                      2              3              0             12
INI                                      1              1              0              6
SQL                                      1              0              0              2
CoffeeScript                             1              1              0              0
---------------------------------------------------------------------------------------
SUM:                                 14769         248841         398871        1519554
---------------------------------------------------------------------------------------
